44|1st cousins, 1 rem & 1st cousins, 2 rem|34|-1|3/32|43/1024|1|0|0|0|0|0|0|0|0|0|0|0|0
45|1st cousins, 2 rem & 2nd cousins, 1 rem|45|-1|3/64|0|1|0|0|0|0|0|0|0|0|0|0|0|0
46|1st cousins, 1 rem & 2nd cousins, 1 rem|46|0|5/64|143/4096|1|-800/143|2000/143|-2864/143|2384/143|-1072/143|192/143|0|0|0|0|0|0
47|2nd cousins, 1 rem & 3rd cousins, 1 rem|47|-1|5/256|0|1|0|0|0|0|0|0|0|0|0|0|0|0
48|Double 3rd cousins, 1 rem|22|-1|1/128|63/16384|1|0|0|0|0|0|0|0|0|0|0|0|0
49|Double 2nd cousins, 1 rem|49|0|1/32|31/2048|1|-224/31|720/31|-1328/31|48|-1008/31|384/31|-64/31|0|0|0|0|0
50|1st cousins, 4 rem|22|1|1/128|63/16384|1|-512/63|1888/63|-4096/63|5632/63|-1664/21|928/21|-128/9|128/63|0|0|0|0
51|2nd cousins, 3 rem|40|1|1/256|127/65536|1|-1152/127|4800/127|-11968/127|19456/127|-21248/127|15552/127|-7630/127|2048/127|-256/127|0|0|0
52|3rd cousins, 2 rem|52|1|1/512|255/262144|1|-512/51|3968/85|-33536/255|62848/255|-27136/85|14720/51|-45824/255|6272/85|-1536/85|512/255|0|0
53|2nd cousins & 2nd cousins, 1 rem|53|-1|3/64|0|1|0|0|0|0|0|0|0|0|0|0|0|0
54|Half 1st cousins, 1 rem & 2nd cousins|12|-1|1/16|7/256|1|0|0|0|0|0|0|0|0|0|0|0|0
55|2nd cousins, 2 rem & 3rd cousins|7|-1|5/32|63/1024|1|0|0|0|0|0|0|0|0|0|0|0|0
56|2nd cousins & 3rd cousins|56|0|5/128|303/16384|1|-640/101|5600/303|-9728/303|10496/303|-2304/101|2528/303|-128/101|0|0|0|0|0
57|1st cousins, 1 rem & 3rd cousins|57|-1|9/128|0|1|0|0|0|0|0|0|0|0|0|0|0|0
58|2nd cousins, 1 rem & 3rd cousins|58|-1|3/128|0|1|0|0|0|0|0|0|0|0|0|0|0|0
59|1st cousins, 5 rem|40|1|1/256|127/65536|1|-1152/127|4800/127|-11968/127|19456/127|-21248/127|15552/127|-7630/127|2048/127|-256/127|0|0|0
60|Gr gr gr gr grandparent-grandchild|20|1|1/64|31/4096|1|-160/31|320/31|-320/31|160/31|-32/31|0|0|0|0|0|0|0
61|Double half grand avuncular|30|-1|1/8|7/128|1|0|0|0|0|0|0|0|0|0|0|0|0
62|Half avuncular & triple half 1st cousins, 1 rem|62|-1|7/32|0|1|0|0|0|0|0|0|0|0|0|0|0|0
63|Half 1st cousins & triple half 2nd cousins|63|-1|7/64|0|1|0|0|0|0|0|0|0|0|0|0|0|0
64|1st cousins & 4th cousins|64|-1|33/256|0|1|0|0|0|0|0|0|0|0|0|0|0|0
65|1st cousins & double half 2nd cousins|7|-1|5/32|63/1024|1|0|0|0|0|0|0|0|0|0|0|0|0
66|1st cousins & double 2nd cousins|66|-1|3/16|0|1|0|0|0|0|0|0|0|0|0|0|0|0
67|1st cousins & double half 1st cousins, 1 rem|67|-1|3/16|0|1|0|0|0|0|0|0|0|0|0|0|0|0
68|1st cousins & double 3rd cousins|68|-1|9/64|0|1|0|0|0|0|0|0|0|0|0|0|0|0
69|1st cousins & double 2nd cousins, 1 rem|7|-1|5/32|63/1024|1|0|0|0|0|0|0|0|0|0|0|0|0
70|1st cousins & half 1st cousins|70|-1|3/16|0|1|0|0|0|0|0|0|0|0|0|0|0|0
71|Avuncular & half avuncular|26|-1|3/8|7/64|1|0|0|0|0|0|0|0|0|0|0|0|0
72|Half avuncular & 1st cousins|23|-1|1/4|3/32|1|0|0|0|0|0|0|0|0|0|0|0|0
73|4th cousins|52|1|1/512|255/262144|1|-512/51|3968/85|-33536/255|62848/255|-27136/85|14720/51|-45824/255|6272/85|-1536/85|512/255|0|0
74|4th cousins, 1 rem|74|1|1/1024|511/1048576|1|-5632/511|28928/511|-90880/511|192768/511|-41216/73|44288/73|-238848/511|129280/511|-46848/511|10240/511|-1024/511|0
75|Half 1st cousins & half avuncular|75|-1|3/16|0|1|0|0|0|0|0|0|0|0|0|0|0|0
76|Half 3rd cousins|40|1|1/256|127/65536|1|-1024/127|3712/127|-7936/127|10880/127|-9728/127|5504/127|-1792/127|256/127|0|0|0|0
